#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
182,25054783,ECI EEM MONSENHOR JOSE PAULINO,Arara,"RUA SENADOR RUY CARNEIRO, 30 - CENTRO",58396000,200Mbits
183,25078577,EEEFM CONEGO ANTONIO GALDINO,Puxinanã,"AVENIDA 28 DE JANEIRO, SN - CENTRO",58115000,200Mbits
184,25084542,EEEF DR CARLOS PESSOA,Natuba,"AV PRESIDENTE EPITACIO PESSOA, 235 - CENTRO",58494000,200Mbits
185,25117688,ECI IRMA STEFANIE,Campina Grande,"HENRIQUE NOBREGA, - TRES IRMAS",58400002,200Mbits
186,25122401,EEEFM SEVERINA RAMOS DE OLIVEIRA,Sobrado,"RUA JOAO PEDRO TEIXEIRA, 0 - CONJUNTO PAULO ROLIM",58342000,200Mbits
187,25130846,EEEF RENE ALVES RAMALHO,Sousa,"ASSENTAMENTO NOVA VIDA I, - ",58814000,200Mbits
188,25000055,EEEFM AMERICO MAIA,Belém do Brejo do Cruz,"RUA JOAO AGRIPINO, 331 - CENTRO",58895000,200Mbits
189,25004999,EEEF DE BANDARRA,São João do Rio do Peixe,"DISTRITO DE BANDARRA, 0 - ZONA RURAL",58910000,200Mbits
190,25011669,E EST DE CURSO NORMAL EM NIVEL MEDIO SAO JOSE,São José de Piranhas,"RUA EXPEDITO RODRIGUES DE HOLANDA, 146 - CENTRO",58940000,200Mbits
191,25023187,ECI EEM MARIA DE LOURDES MEIRA,São José do Bonfim,"RUA JAMIL NOBREGA, - CONJUNTO EDVALDO MOTA",58725000,200Mbits
192,25031155,ECI FRANCELINO DE ALENCAR NEVES,Itaporanga,"RUA JOAO SILVINO DA FONSECA, 310 - CENTRO",58780000,200Mbits
193,25047469,EEEFM JAIRO AIRES CALUETE,Parari,"RUA TERTULINO AIRES DE QUEIROZ, SN - CENTRO",58575000,200Mbits
194,25064142,EEEF ALVARO MACHADO,Areia,"RUA FLORIANO PEIXOTO, - ",58397000,200Mbits
195,25072307,ECI SOLON DE LUCENA,Campina Grande,"RUA PREFEITO ERNANI LAURITZEN, SN - CENTRO",58400133,200Mbits
196,25088963,EEEIEF AUGUSTO DOS ANJOS,Mari,"RUA ANTONIO DE LUNA FREIRE, 374 - CENTRO",58345000,200Mbits
197,25093894,ECI EEM PROF PEDRO AUGUSTO PORTO CAMINHA,João Pessoa,"RUA ANUBIO LINS FALCAO, SN - JAGUARIBE",58015480,200Mbits
198,25025813,EEEF CONEGO MANOEL OTAVIANO,Olho d'Água,"RUA MANOEL DE ALMEIDA COSTA, 70 - CENTRO",58760000,200Mbits
199,25039997,EEEFM NAPOLEAO ABDON DA NOBREGA,São Mamede,"MINISTRO JOAO AGRIPINO, 175 - ",58625000,200Mbits
200,25044362,ECIT PEDRO BEZERRA FILHO,Camalaú,"RUA ANTONIO GALDINO CHAVES, 23 - CENTRO",58530000,200Mbits
201,25072218,EEEFM CLEMENTINO PROCOPIO,Campina Grande,"RUA FELIPE CAMARAO, 168 - SAO JOSE",58400366,200Mbits
202,25089560,EEEFM SEVERINA DE HOLANDA CAVALCANTI,São Miguel de Taipu,"FAZENDA SANTA LUCIA- CAFE DO VENTO- SN-, SN - ZONA RURAL",58334000,200Mbits
203,25099132,EEEF ALINE SILVA MADRUGA,Santa Rita,"RUA PROFESSOR PEREIRA LIRA, 8332293515 - POPULAR",58301125,200Mbits
204,25114425,EEEF GOV ANTONIO MARIZ,João Pessoa,"RUA TONY CASSIO RODRIGUES ESTRELA, SN - FUNCIONARIOS III",58079090,200Mbits
205,25094378,EEEF CASTRO PINTO,João Pessoa,"AVENIDA CRUZ DAS ARMAS, 1096 - CRUZ DAS ARMAS",58085000,200Mbits
206,25009192,ECI EEM JOEL PEREIRA DA SILVA,Carrapateira,"RUA JOAO BEZERRA SN, SN - CENTRO",58945000,200Mbits
207,25089242,EEEFM JOCELYN VELLOSO BORGES,São José dos Ramos,"AV PIO GONCALVES CHAVES, SN - CENTRO",58339000,200Mbits
208,25091000,EEEF TANCREDO NEVES,Bayeux,"RUA BALBINO DE MENDONCA, 336 - SAO BENTO",58111530,200Mbits
209,25007726,ECI PROFESSOR CRISPIM COELHO,Cajazeiras,"AV PEDRO MORENO GONDIM, SN - CENTRO",58900000,200Mbits
210,25020366,EEEM CONEGO MACHADO,Passagem,"RUA CAPITAO PEDRO RAFAEL, 350 - CENTRO",58734000,200Mbits
211,25080261,ECI EEM MANOEL AVELINO PAIVA,Caldas Brandão,"AVENIDA SENADOR RUY CARNEIRO, SN - CENTRO",58350000,200Mbits
212,25001906,ECI JOAO SUASSUNA,Catolé do Rocha,"PRACA PREFEITO JOSE SERGIO MAIA, 70 - CENTRO",58884000,200Mbits
213,25012193,EEEFM NELSON BATISTA ALVES,Bernardino Batista,"RUA JOSE ESTRELA ABRANTES, 245 - CENTRO",58922000,200Mbits
214,25047116,EEEFM MARIO OLIVEIRA CHAVES,São João do Tigre,"RUA ANANIAS HONORIO DE SOUZA, 45 - CENTRO",58520000,200Mbits
215,25071394,EEEFM MONSENHOR SALES,Campina Grande,"RUA VEREADOR ANTONIO ALVES PIMENTEL, 317 - ",58446000,200Mbits
216,25072277,ECI MONTE CARMELO,Campina Grande,"RUA PROFESSOR CARLOS FRANCISCO MEDEIROS DE ALMEIDA, SN - BELA VISTA",58428700,200Mbits
217,25072285,EEEFM MURILO BRAGA,Campina Grande,"RUA SANTA FILOMENA, SN - LIBERDADE",58414020,200Mbits
218,25087738,EEEFM PEDRO POTI,Mataraca,"AV DR CARLOS PESSOA DE MELO, SN - BOM JESUS",58292000,200Mbits
219,25088793,EEEFM DEMETRIO TOLEDO,Juripiranga,"RUA CENTRO CIVICO, 46 - CENTRO",58330000,200Mbits
220,25093622,EEEF FRANCISCO CAMPOS,João Pessoa,"RUA BOURGUEVILLE, SN - ANATOLIA",58052080,200Mbits
221,25094416,EEEFM DES BRAZ BARACUHY,João Pessoa,"RUA ESCRITOR GILBERTO AMADO, SN - CASTELO BRANCO II",58050500,200Mbits
222,25094513,EEEF FREI MARTINHO,João Pessoa,"AVENIDA DESEMBARGADOR NOVAIS, SN - CRUZ DAS ARMAS",58085450,200Mbits
223,25118358,EEEFM DEPUTADO PEDRO PASCOAL DE OLIVEIRA,Juazeirinho,"LUIZ PEDRO DE ARAUJO, 70 - ARNALDO LAFAYETE",58660000,200Mbits
224,25014412,ECI EEM NESTORINA ABRANTES,Lastro,"RUA PEDRO ABRANTES FERREIRA, 278 - CENTRO",58820000,200Mbits
225,25058975,ECIT BENJAMIN MARANHAO,Araruna,"LUIS TARGINO MOREIRA, 300 - CENTRO",58233000,200Mbits
226,25072013,ECI RAUL CORDULA,Campina Grande,"RUA GABIO JOSE DE OLIVEIRA ARAUJO, SN - CRUZEIRO",58415565,200Mbits
227,25076590,ECI EEFM JOSE MIGUEL LEAO,Campina Grande,"RUA JOAO MIGUEL LEAO, SN - SAO JOSE DA MATA",58441000,200Mbits
228,25002457,EEEFM JOSE SERAFIM DE LIMA,Mato Grosso,"RUA ANTONIO SERAFIM DE LIMA, 16 - CENTRO",58832000,200Mbits
229,25114808,ECI ITAN PEREIRA,Campina Grande,"RUA LUIZ MOTTA, S/N - BODOCONGO",58430710,200Mbits
230,25006029,EEEFM PROF JOAQUIM UMBELINO,Bom Jesus,"RUA 05 DE NOVEMBRO, 01 - ASA BRANCA",58930000,200Mbits
231,25094432,EEEFM DOMINGOS JOSE DA PAIXAO,João Pessoa,"AV DOMINGOS JOSE DA PAIXAO, - MUCUMAGRO",58066100,200Mbits
232,25000047,ECI NOSSA SENHORA DA CONCEICAO,Belém do Brejo do Cruz,"RUA JOAO BATISTA DE OLIVEIRA FORTE, 411 - CENTRO",58895000,200Mbits
233,25030175,EEEF FRANCA LEITE,Ibiara,"RUA OSORIO PINTO RAMALHO, 430 - CENTRO",58980000,200Mbits
234,25054180,ECI JORNALISTA JOSE LEAL RAMOS,São João do Cariri,"ALTO DO CRUZEIRO, SN - CENTRO",58590000,200Mbits
235,25072145,EEEFM DOM LUIZ GONZAGA FERNANDES,Campina Grande,"RUA DAS PITOMBEIRAS, SN - MALVINAS",58432791,200Mbits
236,25105183,EEEF IRMA SEVERINA CAVALCANTE SOUTO,João Pessoa,"RUA RODRIGUES CHAVES, SN - CENTRO",58011040,200Mbits
237,25120859,EEEFM PROF MARIA JOSE COSTA DE ALBUQUERQUE,Olivedos,"RUA RONDINELLE GUIMARAES COUTO, SN - CENTRO",58160000,200Mbits
238,25018094,EEEFM DR JOSE GADELHA,Aparecida,"RUA JOAO AMANCIO PIRES, 95 - CENTRO",58823000,200Mbits
239,25020889,EEEFM LUCIA WANDERLEY DE FREITAS,Patos,"RUA VEREADOR JOSE CAETANO FILHO, 36 - DISTRITO SANTA GERTRUDES",58709000,200Mbits
240,25049640,EEEF DE AMPARO,Amparo,"RUA VEREADOR CICERO SOARES, 62 - CENTRO",58548000,200Mbits
241,25066013,ECI EEFM ANTONIO BENTO,Serraria,"RUA ADALGISA CAVALCANTE, 328 - CENTRO",58395000,200Mbits
242,25080270,EEEFM DE CALDAS BRANDAO,Caldas Brandão,"RUA MANOEL DANTAS, 157 - CENTRO",58350000,200Mbits
243,25093860,ECIT RAUL MACHADO,João Pessoa,"AVENIDA CARNEIRO DE CAMPOS, SN - ILHA DO BISPO",58011440,200Mbits
244,25001302,EEEFM OLIVIA SARAIVA MAIA,São José do Brejo do Cruz,"RUA CONEGO SANDOVAL, 124 - CENTRO",58893000,200Mbits
245,25012940,ECI EEM JOSE NILSON SANTIAGO,Poço Dantas,"RUA ODILON FRANCISCO DE OLIVEIRA, SN - CENTRO",58933000,200Mbits
246,25018140,EEEFM CELSO MARIZ,Sousa,"ARY FERNANDES DE ARAGAO, SN - JARDIM SORRILANDIA III",58805535,200Mbits
247,25040014,ECIT SERAFICO NOBREGA,São Mamede,"RUA JOSE PEQUENO DE OLIVEIRA, 91 - CENTRO",58625000,200Mbits
248,25072030,ECI NENZINHA CUNHA LIMA,Campina Grande,"RUA FERNANDES VIEIRA, SN - JOSE PINHEIRO",58407490,200Mbits
249,25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE,Campina Grande,"RUA CAICO, SN - BODOCONGO",58433140,200Mbits
250,25009931,ECI ELAINE SOARES BRASILEIRO,Santa Helena,"RUA JOANA FERREIRA DE SOUSA, 272 - CENTRO",58925000,200Mbits
251,25018183,EEEFM ESTEVAM MARINHO,Sousa,"AVENIDA RIO PIRANHAS, - CENTRO",58814000,200Mbits
252,25021427,ENE D EXPEDITO E DE OLIVEIRA,Patos,"RUA PAULO LEITE, SN - LIBERDADE",58703130,200Mbits
253,25072293,EEEFM NOSSA SENHORA APARECIDA,Campina Grande,"RUA ROSA MARIA BANDEIRA DA SILVA, SN - MUTIRAO",58436108,200Mbits
254,25090984,ECI EEFM JOAO CAETANO,Bayeux,"RUA PASTOR ANTONIO PETRONILO DOS SANTOS, 322 - JARDIM AEROPORTO",58113363,200Mbits
255,25094475,EEEF EPITACIO PESSOA,João Pessoa,"AVENIDA MONSENHOR WALFREDO LEAL, SN - TAMBIA",58020540,200Mbits
256,25094688,ECIT PADRE HILDON BANDEIRA,João Pessoa,"AV CAETANO FILGUEIRAS, SN - TORRE",58040000,200Mbits
257,25014692,ECIT DOUTOR ANTONIO FERNANDES MEDEIROS,Malta,"RUA- CEL ANTONIO DE ASSIS FERREIRA, SN - CENTRO",58713000,200Mbits
258,25026402,EEEIEF ADEMAR LEITE,Piancó,"RUA CEL JOAO LEITE, 26 - CENTRO",58765000,200Mbits
259,25050435,ECIT MELQUIADES VILAR,Taperoá,"RUA ISMENIA MACHADO, 38 - CENTRO",58680000,200Mbits
260,25026488,EEEF MARIA ELIZA MONTENEGRO DE SOUZA,Piancó,"RUA ANTONIO LEITE MONTENEGRO, SN - CAIXA DAGUA",58765000,200Mbits
261,25046764,EEEFM NOSSA SRA DAS GRACAS,Ouro Velho,"RUA JOSE CASSIANO, SN - CENTRO",58560000,200Mbits
262,25094661,ECI EEFM PEDRO LINS VIEIRA DE MELO,João Pessoa,"RUA FRANCISCO PEREIRA DE SOUSA, 130 - MANGABEIRA I",58055440,200Mbits
263,25152823,EEEFM EUCLIDES MOUZINHO SANTOS,Algodão de Jandaíra,"RUA PROJETADA, SN - CONJUNTO NOVO",58399000,200Mbits
264,25048880,EEEFM SENADOR JOSE GAUDENCIO,Serra Branca,"RUA BOAVENTURA CAVALCANTE NETO, 79 - CENTRO",58580000,200Mbits
265,25053124,ECIT ALCIDES BEZERRA,Cabaceiras,"RUA PRACA GENERAL JOSE PESSOA, 80 - CENTRO HISTORICO",58480000,200Mbits
266,25055046,ECIT JOSE LUIZ NETO,Barra de Santa Rosa,"RUA PREFEITO JOAO INACIO DA SILVA, 170 - CENTRO",58170000,200Mbits
267,25064134,ECIT MINISTRO JOSE AMERICO DE ALMEIDA,Areia,"PRACA MINISTRO JOSE AMERICO, 321 - CENTRO",58397000,200Mbits
268,25091620,ECI EEFM ABREU E LIMA,Cabedelo,"RUA MARGARIDA MARIA ALVES, 27 - RENASCER II",58108172,200Mbits
269,25094971,EEEF MONS ODILON COUTINHO,João Pessoa,"AV CELERINA PAIVA, SN - MANDACARU",58027390,200Mbits
270,25117866,EEEFM POETISA VICENTINA FIGUEIREDO VITAL DO REGO,Campina Grande,"RUA SAO RAFAEL, SN - JEREMIAS",58404072,200Mbits
271,25010565,ECIT PREFEITO JOAQUIM LACERDA LEITE,São José de Piranhas,"RUA RAIMUNDO ALVES, 125 - SANTO ANTONIO",58940000,200Mbits
272,25019538,ECI DOUTOR SILVA MARIZ,Marizópolis,"RUA BELARMINO RUFINO DE CARVALHO, 22 - CENTRO",58819000,200Mbits
273,25020978,EEEF PROFA MARIA NUNES,Patos,"RUA VALDEMAR VIEIRA, SN - SAO SEBASTIAO",58706330,200Mbits
274,25053728,ECI EEM JUAREZ MARACAJA,Gurjão,"RUA ALFREDO TEIXEIRA DE FREITAS, 281 - PEDREGAL",58670000,200Mbits
275,25081462,EEEF PROF MENDONCA,Itabaiana,"RUA ARARE DUARTE DO AMARAL, SN - CONJUNTO COSTA E SILVA",58360000,200Mbits
276,25099167,EEEF JOSE MARIANO,Santa Rita,"AVENIDA CAMPINA GRANDE, SN - MUNICIPIOS",58302195,200Mbits
277,25111841,EEEF INDIGENA JOSE FERREIRA PADILHA,Marcação,"ALDEIA VAU RUA PRINCIPAL, SN - ZONA RURAL",58294000,200Mbits
278,25114484,ECIT JOAO ROBERTO BORGES DE SOUZA,João Pessoa,"RUA OSORIO MILANEZ FILHO, SN - MANGABEIRA",58056280,200Mbits
279,25118560,EEEFM JOANA IVONILDES BANDEIRA,Pombal,"RUA CROMACIO WANDERLEY, SN - VIDA NOVA",58840000,200Mbits
280,25151401,EEEFM ANTONIO GUEDES DE ANDRADE,Campina Grande,"RUA SEVERINO DA COSTA, 200 - CATOLE DE ZE FERREIRA",58418030,200Mbits
281,25153200,EEEM MATILDES DE MELO BURUTI,Pedra Lavrada,"DIST CUMARU, - ZONA RURAL",58180000,200Mbits
282,25019228,EEEFM ANTONIO TEODORO NETO,Sousa,"RUA VEREADOR JOSE GONCALVES FORMIGA, SN - SANTAREM",58808470,200Mbits
283,25019740,EEEM MARIA MOREIRA PINTO,Vieirópolis,"RUA AGRIPINO FERNANDES DAS CHAGAS, SN - CENTRO",58822000,200Mbits
284,25039504,EEEFM OLAVO BILAC,São José do Sabugi,"RUA SEVERINO ARNALDO, 325 - CENTRO",58610000,200Mbits
285,25060996,ECI DR TERCILIO TEIXEIRA DA CRUZ,Tacima,"RUA 31 DE MARCO, 582 - CENTRO",58240000,200Mbits
286,25091018,EEEF VERALDO LEITE,Bayeux,"RUA CAROLINA MACHADO, SN - TAMBAY",58110560,200Mbits
287,25093916,ECIT PROFESSOR RAUL CORDULA,João Pessoa,"RUA JUAREZ TAVORA, SN - TORRE",58041974,200Mbits
288,25007718,EEEFM PROF MANOEL MANGUEIRA LIMA,Cajazeiras,"RUA JOSE LEITE DE OLIVEIRA, 215 - POR DO SOL",58900000,200Mbits
289,25077163,EEEF FREI ALBERTO,Fagundes,"RUA PLINIO LEMOS, 13 - CENTRO",58487000,200Mbits
290,25078569,EEEF SEVERIANO PEDRO DO NASCIMENTO,Puxinanã,"POVOADO DE JENIPAPO, SN - ",58115000,200Mbits
291,25079115,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MEDIO E EJA JOSE TAVARES,Queimadas,"RUA JOAO BARBOSA DA SILVA, SN - CENTRO",58475000,200Mbits
292,25084526,ECIT FRANCISCO DE ALBUQUERQUE MONTENEGRO,Natuba,"AV DRA FRANCISCO DE ALBUQUERQUE MONTENEGRO, SN - CENTRO",58494000,200Mbits
293,25095080,EEEFM PADRE ROMA,João Pessoa,"RUA EMILIO DE ARAUJO CHAVES, 120 - ALTIPLANO",58046150,200Mbits
294,25095153,EEEF PROF RITA DE MIRANDA HENRIQUES,João Pessoa,"RUA FRANCISCO PORFIRIO RIBEIRO, SN - MANGABEIRA IV",58057100,200Mbits
295,25003054,EEEFM FREI BRUNO,Lagoa,"TRAVESSA SIMPLICIO ROQUE, 02 - CENTRO",58835000,200Mbits
296,25007904,EEEFM MONS CONSTANTINO VIEIRA,Cajazeiras,"RUA PADRE ROLIM, 457 - CENTRO",58900000,200Mbits
297,25017438,EEEFM ANTONIO GREGORIO DE LACERDA,São José da Lagoa Tapada,"RUA ANTONIO GREGORIO DE LACERDA, SN - SANHAUA",58815000,200Mbits
298,25025368,EEEFM PROF MARGARIDA REMIGIO LOUREIRO,Emas,"AV DR JOSE CELINO FILHO, 107 - CENTRO",58763000,200Mbits
299,25088785,ECI TEONAS DA CUNHA CAVALCANTI,Juripiranga,"RUA SENADOR RUI CARNEIRO, 122 - CENTRO",58330000,200Mbits
300,25001477,ECI EEFM PROFESSORA DIVA GUEDES DE ARAUJO,Brejo dos Santos,"RUA APOLONIO PEREIRA DE SOUSA, 150 - CENTRO",58880000,200Mbits
301,25027174,EEEF DOUTOR FELIZARDO TEOTONIO DANTAS,Santana dos Garrotes,"RUA JOAO ARAUJO FONSECA, 51 - CENTRO",58795000,200Mbits
302,25072692,ENE PE EMIDIO VIANA CORREIA,Campina Grande,"AV SEVERINO BEZERRA CABRAL, SN - CATOLE",58410185,200Mbits
303,25034200,ECIT MARIA DO SOCORRO RAMALHO QUIRINO,Imaculada,"RUA DELMIRO DANTAS, SN - CENTRO",58745000,200Mbits
304,25067869,ECI EEFM ODILON NELSON DANTAS,Cuitegi,"RUA JOSE MARINHO DE LUCENA, SEM NUMERO - SANTO ANTONIO",58208000,200Mbits
305,25089811,EEEF FAZENDA BURACAO,Sapé,"FAZENDA BURACAO, SN - SITIO",58340000,200Mbits
306,25094033,ECIT MANOEL LISBOA DE MOURA,João Pessoa,"RUA ANTONIO CLAUDINO LEAL, SN - COSTA E SILVA",58081010,200Mbits
307,25066676,ECI FRANCISCO PESSOA DE BRITO,Araçagi,"AVENIDA OLIVIO MAROJA SN ARACAGI - PB, - SAO SEBASTIAO",58270000,200Mbits
308,25072137,ECI ANESIO LEAO,Campina Grande,"RUA XV DE NOVEMBRO, SN - PALMEIRA",58401075,200Mbits
309,25090976,EEEF GETULIO VARGAS,Bayeux,"RUA IVANIA MENEZES, 284 - CENTRO",58110260,200Mbits
310,25102519,EEEFM ANTONIO CAMELO,Alhandra,"RUA JOSE JOAO DA SILVA, SN - MATA REDONDA",58320000,200Mbits
311,25129317,EEEFM PAULO FREIRE,Campina Grande,"ALCA SUDOESTE, SN - SERROTAO",58436220,200Mbits
312,25012924,EEEFM JOVELINA GOMES,Uiraúna,"RUA JOAO PESSOA, 88 - SAO JOSE",58915000,200Mbits
313,25062239,EEEF ELIDIO SOBREIRA,São Sebastião de Lagoa de Roça,"RUA JOSE RODRIGUES COURA, 21 - CENTRO",58119000,200Mbits
314,25072080,EEEFM NINA ALVES DE LIMA,Campina Grande,"RUA FRANCISCO ROSA DE FARIAS, SN - MONTE SANTO",58400710,200Mbits
315,25094254,EEEF PADRE CICERO ROMAO BATISTA,João Pessoa,"R JOSE BETHANIO, SN - MANDACARU",58027587,200Mbits
316,25114905,ECI EEFM MILTON CAMPOS,João Pessoa,"R- SEVERINA MARIA VASCONCELOS DE CARVALHO, SN - CUIA",58077156,200Mbits
317,25043897,ECI EEM CICERO DOS ANJOS,São Vicente do Seridó,"RUA ALZIRA XAVIER, S/N - CENTRO",58158000,200Mbits
318,25093886,ECIT FRANCISCA ASCENSAO CUNHA,João Pessoa,"RUA LUIZ GONZAGA G VIEIRA, 700 - BANCARIOS",58051700,200Mbits
319,25117858,EEEF REITOR EDVALDO DO O,Campina Grande,"ISOLDA BARROS TORQUATO, SN - BODOCONGO",58430290,200Mbits
320,25075918,ECI EEM TEODOSIO DE OLIVEIRA LEDO,Boa Vista,"RUA PREFEITO SEVERINO CABRAL, 230 - CENTRO",58123000,200Mbits
321,25094629,EEEF PROF MARIA GENY DE SOUSA TIMOTEO,João Pessoa,"AV MONSENHOR WALFREDO LEAL, 551 - TAMBIA",58020540,200Mbits
322,25012207,ECI EEM BERNARDINO JOSE BATISTA,Triunfo,"TABELIAO ANTONIO LISBOA LISBOA, SN - BELA VISTA",58920000,200Mbits
323,25034839,ECI ARLINDA PESSOA DA SILVA,Juru,"AVENIDA DALMO TEIXEIRA SETOR SERRA BRANCA, SN - SERRA BRANCA",58750000,200Mbits
324,25088530,ECI EEFM DEPUTADO FERNANDO MILANEZ,Cruz do Espírito Santo,"RUA DR JOAO URSULO, SN - CENTRO",58337000,200Mbits
325,25000659,EEEFM ANTONIO GOMES,Brejo do Cruz,"RUA ANGELINA MARIZ, 50 - CENTRO",58890000,200Mbits
326,25060384,EEEF CELSO CIRNE,Solânea,"PRACA 26 DE NOVEMBRO, SN - CENTRO",58225000,200Mbits
327,25062816,ECIT OSWALDO TRIGUEIRO DE ALBUQUERQUE MELO,Alagoa Grande,"RUA RUI BARBOSA, SN - CENTRO",58388000,200Mbits
328,25085875,EEEFM MATIAS FREIRE,Baía da Traição,"RUA MATIAS FREIRE, 1168 - CENTRO",58295000,200Mbits
329,25087908,EEEFM FREDERICO LUNDGREN,Rio Tinto,"RUA DA AURORA, SN - CENTRO",58297000,200Mbits
330,25040820,ECI IOLANDA TEREZA CHAVES LIMA,Cubati,"RUA VALDEMIR DE SOUSA SOUTO, SN - CENTRO",58167000,200Mbits
331,25062220,ECI EEM MONSENHOR JOSE BORGES,São Sebastião de Lagoa de Roça,"RUA LAURA DONATO DE ARAUJO, SN - CENTRO",58119000,200Mbits
332,25063405,ECIT POETA MARIO VIEIRA DA SILVA,Matinhas,"ST CAMARA, SN - ZONA RURAL",58128000,200Mbits
333,25064126,EEEIEFM CARLOTA BARREIRA,Areia,"PRACA MONSENHOR RUY BARREIRA VIEIRA, SN - CENTRO",58397000,200Mbits
334,25093851,ECI LILIOSA PAIVA LEITE,João Pessoa,"AV DOM BOSCO, SN - CRISTO REDENTOR",58070470,200Mbits
335,25030167,EEEF DE IBIARINHA,Ibiara,"RUA SANTA MARIA, 641 - IBIARINHA",58980000,200Mbits
336,25052802,EEEFM FELIX ARAUJO,Caturité,"RUA JOAO QUEIROGA, SN - CENTRO",58455000,200Mbits
337,25051580,ECIT CONSELHEIRO JOSE BRAZ DO REGO,Boqueirão,"AV NOSSA SENHORA DO DESTERRO, - CENTRO",58450000,200Mbits
338,25070088,EEEFM SILVIO PORTO,Pilõezinhos,"RUA MANOEL ALVES DE SOUZA, 309 - CENTRO",58210000,200Mbits
339,25072153,ECI SEVERINO CABRAL,Campina Grande,"RUA JOAQUIM AMORIM JUNIOR, SN - BODOCONGO",58430200,200Mbits
340,25092898,EEEFM DE EJA PROF GERALDO LAFAYETTE BEZERRA,João Pessoa,"RUA FELINTO DE ARRUDA ESCOLASTICO, SN - CRISTO REDENTOR",58070380,200Mbits
341,25003410,ECIT EEFM DANIEL CARNEIRO,Riacho dos Cavalos,"RUA DR ANTONIO CARNEIRO, 60 - CENTRO",58870000,200Mbits
342,25020986,EEEF RIO BRANCO,Patos,"AV FLORIANO PEIXOTO, SN - JARDIM CALIF RNIA",58700300,200Mbits
343,25058304,ECIT DOUTOR TRAJANO NOBREGA,Soledade,"JOSE RUFINO DE CARVALHO, SN - JARDIM CRUZEIRO",58155000,200Mbits
344,25072102,ECI DEPUTADO ALVARO GALDENCIO DE QUEIROZ,Campina Grande,"RUA DOS JUCAS, SN - MALVINAS",58432599,200Mbits
345,25089250,ECI EEM JOSE LINS DO REGO,Pilar,"RUA JOAO NOLASCO DA CRUZ GOUVEIA, - SERVENTIA",58338000,200Mbits
346,25036017,ECI EEFM MONSENHOR SEBASTIAO RABELO,Manaíra,"RUA SILVERIO ALVES LISBOA, SN - CENTRO",58995000,200Mbits
347,25120670,EEEFM MAJOR VENEZIANO VITAL DO REGO,Campina Grande,"RUA MARIA CANDIDA DA SILVA, S/N - ACACIO FIGUEIREDO",58421295,200Mbits
348,25033794,EEEFM PEDRO TERTO DA CUNHA,Cacimbas,"RUA FERNANDES FERREIRA, - CENTRO",58698000,200Mbits
349,25055836,ECI ORLANDO VENANCIO DOS SANTOS,Cuité,"RUA 15 DE NOVEMBRO, SN - CENTRO",58175000,200Mbits
350,25086316,ECIT ALZIRA LISBOA,Jacaraú,"RUA 7 DE SETEMBRO, 453 - SAO JOSE",58278000,200Mbits
351,25086332,EEEFM CASTRO PINTO,Jacaraú,"PRACA DOUTOR ORESTES LISBOA, 43 - CENTRO",58278000,200Mbits
352,25100696,ECI JOAO URSULO,Pedras de Fogo,"RUA SANTO ANTONIO, SN - SANTO ANTONIO",58328000,200Mbits
353,25012916,ECIT DOUTOR JOSE DUARTE FILHO,Uiraúna,"RUA FRANCISCO LEAO VELOSO, 448 - CENTRO",58915000,200Mbits
354,25087894,EEIEFM DR JOSE LOPES RIBEIRO,Rio Tinto,"RUA SAO JOAO, SN - ALDEIA MONTE MOR",58297000,200Mbits
355,25030698,EEEF SIMEAO LEAL,Itaporanga,"PRACA DEP BALDUINO DE CARVALHO, 32 - CENTRO",58780000,200Mbits
356,25057820,ECIT JOSE BRONZEADO SOBRINHO,Remígio,"AV JOAQUIM CAVALCANTE DE MORAIS, SN - CENTRO",58398000,200Mbits
357,25093835,ECI LUIS RAMALHO,João Pessoa,"AV COMERCIANTE ALFREDO FERREIRA DA ROCHA, SN - MANGABEIRA I",58055540,200Mbits
358,25018221,EEEF CONEGO JOAO CARTAXO ROLIM,Sousa,"RUA DORGIVAL DA NOBREGA ASSIS, SN - ALTO DO CRUZEIRO",58806250,200Mbits
359,25072439,ECI HORTENCIO SOUSA RIBEIRO PREMEN,Campina Grande,"OTACILIO NEPOMUCENO, SN - CATOLE",58410160,200Mbits
360,25086049,ECI SEVERINO FELIX DE BRITO,Itapororoca,"RUA SETE DE SETEMBRO, SN - BAIRRO DOS ESTUDANTES",58275000,200Mbits
361,25088068,ESCOLA CIDADA INTEGRAL INDIO ANTONIO SINESIO DA SILVA,Marcação,"ALDEIA BREJINHO, SN - ZONA RURAL",58294000,200Mbits
362,25130110,ECIT SERRA BRANCA INACIO ANTONINO,Serra Branca,"PB 200, - SITIO LAGOINHA",58580000,200Mbits
363,25090135,ECI EEFM CASSIANO RIBEIRO COUTINHO,Sapé,"RUA MANOEL MOREIRA DA SILVA, 135 - CENTRO",58340000,200Mbits
364,25041525,ECIT DEPUTADO GENIVAL MATIAS,Juazeirinho,"RUA PROFESSORA JOSEFA NETA FREIRE, 180 - CENTRO",58660000,200Mbits
365,25089552,EEEFM MARIA LINS,São Miguel de Taipu,"AV EMILIA AUGUSTA, 25 - CENTRO",58334000,200Mbits
