#,INEP,ESCOLA,MUNICÍPIO,LOGRADOURO,CEP,Velocidade Link
42,25044788,EEEFM MANOEL ALVES CAMPOS,Congo,"RUA SENADOR RUI CARNEIRO, SN - CENTRO",58535000,200Mbits
43,25086928,EEEF PROFESSOR LUIZ APRIGIO,Mamanguape,"RUA PRESIDENTE JOAO PESSOA, SN - CENTRO",58280000,200Mbits
44,25089293,EEEF DR JOSE MARIA,Pilar,"PRACA JOAO JOSE MAROJA, SN - CENTRO",58338000,200Mbits
45,25094742,EEEFM PROFESSORA MARIA JACY COSTA,João Pessoa,"RUA DRAUZIO FERRER, 77 - MANGABEIRA II",58057360,200Mbits
46,25115049,ECI EEF PROFESSOR PAULO FREIRE,João Pessoa,"RUA MARLI DO NASCIMENTO SOUZA, 57 - JOAO PAULO II",58076117,200Mbits
47,25034227,EEEIF DELMIRO DANTAS,Imaculada,"RUA DELMIRO DANTAS, SN - CENTRO",58745000,200Mbits
48,25055852,EEEF ANDRE VIDAL DE NEGREIROS,Cuité,"RUA CAETANO DANTAS, 222 - CENTRO",58175000,200Mbits
49,25055852,EEEF ANDRE VIDAL DE NEGREIROS,Cuité,"RUA CAETANO DANTAS, 222 - CENTRO",58175000,200Mbits
50,25081454,EEEFM JOAO FAGUNDES DE OLIVEIRA,Itabaiana,"RUA ALTO PROFESSOR MACIEL, SN - CENTRO",58360000,200Mbits
51,25081888,EEEFM JOSE R DE ATAIDE,Itatuba,"RUA ANTONIA DE ANDRADE CAVALCANTE, SN - CENTRO",58378000,200Mbits
52,25086936,EEEF II E EJA UMBELINA GARCEZ,Mamanguape,"RUA DOM VITAL, SN - CENTRO",58280000,200Mbits
53,25093878,EEEM CON LUIZ GONZAGA DE OLIVEIRA,João Pessoa,"RUA JANDUI DANTAS DO NASCIMENTO, SN - MANGABEIRA I",58056140,200Mbits
54,25094335,EEEF ANA HIGINA,João Pessoa,"RUA 19 DE MARCO, SN - ROGER",58020340,200Mbits
55,25094360,EEEF BORGES DA FONSECA,João Pessoa,"AV CORONEL CALIXTO- SN, S/N - MANGABEIRA VIII",58055000,200Mbits
56,25048368,EEEFM PROF MARIA CELESTE DO NASCIMENTO,Zabelê,"RUA JOAO MIZAEL DE MEDEIROS, SN - CENTRO",58515000,200Mbits
57,25072234,EEEFM DE MONTE SANTO,Campina Grande,"RUA DIOGO DA COSTA, 305 - MONTE SANTO",58400733,200Mbits
58,25084992,ECI EEM ANTONIO FRANCISCO GOMES,Santa Cecília,"PRACA PREFEITO ANTONIO GOMES, SN - CENTRO",58463000,200Mbits
59,25094114,ECIT ALICE CARNEIRO,João Pessoa,"AV SAPE, SN - MANAIRA",58038381,200Mbits
60,25094637,ECIT PEDRO ANISIO BEZERRA DANTAS,João Pessoa,"RUA GIL FURTADO, SN - IPES",58030206,200Mbits
61,25020374,EEEFM CLOVIS SATIRO,Areia de Baraúnas,"RUA PEDRO LINO, 490 - CENTRO",58732000,200Mbits
62,25051598,ECIT PROFESSORA MARIA CECILIA DE CASTRO,Alcantil,"AVENIDA SAO JOSE, 523 - CENTRO",58460000,200Mbits
